Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
32,-0.25760433,-0.14370842,-0.25607032,495.6600000000001,-190.91,17.352026920843794,3.056821539568686,495.6600000000001,-190.91,42.32159365993802,7.455587735008027
32,-0.24047673,-0.17625698,-0.25418162,379.53,-206.98000000000002,13.596906696562796,2.418148392245005,379.53,-206.98000000000002,33.16285543291666,5.8978639286855685
32,-0.25786486,-0.15470777,-0.24139425,436.99,-202.01999999999998,14.844337753941383,2.567444155590903,436.99,-202.01999999999998,36.20533978186303,6.261996295486211
32,-0.25514928,-0.1761114,-0.24693401,366.30999999999995,-186.28,13.599137345879205,3.697987548503707,366.30999999999995,-186.28,33.16829598659938,9.019391630800541
32,-0.27842206,-0.14622702,-0.25118744,366.51,-163.91,15.515633416848825,2.6665315004675803,366.51,-163.91,37.84262990369429,6.503670329640428
32,-0.2748065,-0.14486256,-0.24613479,521.3399999999999,-200.23000000000002,14.750856053774248,2.537327574781851,521.3399999999999,-200.23000000000002,35.97733791515539,6.188541954892935
32,-0.32172054,-0.11136927,-0.23929353,468.87,-214.84,15.361244261855456,2.7627779979261664,468.87,-214.84,37.466074754665456,6.738415536941922
32,-0.25825867,-0.16016568,-0.25104553,422.28,-207.68,15.470938990720416,2.6586464370128438,422.28,-207.68,37.7336201983671,6.484438659874327
32,-0.25952852,-0.14740539,-0.24726576,457.43000000000006,-199.63,17.34816286013604,3.2013443444197005,457.43000000000006,-199.63,42.3121692158718,7.80807885603965
32,-0.27548528,-0.1367075,-0.23594706,415.02,-255.76,15.748989597883606,3.770879932124852,415.02,-255.76,38.41178562923812,9.197176154452514
32,-0.26365232,-0.34991404,-0.26959136,-426.08,-140.76,-17.3159992372486,2.2921058045059572,-426.08,-140.76,-42.23372213964934,5.590446057190029
32,-0.26361886,-0.33896151,-0.27899617,-440.39,-169.15,-16.78617473688784,2.133059453102949,-440.39,-169.15,-40.94148018326944,5.202532006118091
32,-0.31826678,-0.30576891,-0.2453346,-277.88,-212.36,-11.565771068751355,2.373322264803388,-277.88,-212.36,-28.208915636684555,5.7885330038554645
